bezeichnung;beschreibung;kategorie;groesse;farbe;geschlecht;material;einkaufspreis;bruttopreis;bestand;mindestbestand;lieferant;hersteller;hersteller_artikelnr;gewicht_kg;einheit;bild_url;aktiv;erstellt_am;aktualisiert_am;bemerkung_uuid;uuid
Trainingsjacke;Trainingsjacke für Training und Wettkampf;bekleidung;L;blau;Herren;Polyester;34,00;58,35;0;1;Kampfsport AG;Everlast;ART-49559;<NULL>;;<NULL>;0;1744495200;1744495200;3970bb7a-a0ab-4de0-be29-ab413f40d221;60cb6f37-8fb9-4b25-9ebe-9049af59ffa4
Trainingsanzug;Trainingsanzug für Training und Wettkampf;bekleidung;M;blau;Damen;Baumwolle;80,00;116,89;13;1;Martial Arts Supply;Fairtex;ART-69472;2,03;Flasche;<NULL>;1;1759615200;1759615200;d6d268c5-fce2-4643-ae61-68d8f93f4f06;2781fda7-1464-4362-a22c-58b685e8e7ce
Springseil;Springseil für Training und Wettkampf;training;M;orange;Unisex;Baumwolle;34,00;58,59;50;0;Boxwelt KG;Fairtex;ART-73664;2,78;Flasche;<NULL>;1;1773874800;1773874800;<NULL>;bdaa7cbd-ee0b-402b-a34a-4e0091cec33d
Tiefschutz;Tiefschutz für Training und Wettkampf;boxen;S;weiss;Herren;Latex;23,00;34,59;6;4;Martial Arts Supply;Everlast;ART-55560;0,54;Set;<NULL>;0;1740870000;1740870000;<NULL>;b1755966-3987-4cde-9fae-7d6354de4faa
Bandagen;Bandagen für Training und Wettkampf;boxen;XL;pink;Unisex;Nylon;120,00;222,12;0;5;Martial Arts Supply;Everlast;ART-79371;0,25;Flasche;<NULL>;0;1766617200;1766617200;<NULL>;9951fb33-9c4b-4da5-be2b-8496e3af2ff9
T-Shirt;T-Shirt für Training und Wettkampf;bekleidung;S;silber;Damen;Schaumstoff;15,00;25,54;9;5;Combat Sports Ltd.;Title;ART-14969;0,57;Set;<NULL>;1;1758060000;1758060000;<NULL>;82fb49f2-0669-4ae7-b1ba-c8df79a98ef2
Pratze;Pratze für Training und Wettkampf;training;46;weiss;Herren;Kunstleder;23,00;45,07;8;4;Kampfsport AG;Hayabusa;ART-92188;4,01;;<NULL>;1;1764543600;1764543600;<NULL>;ebdfed0b-0843-40cd-835a-cc2265aaf8d2
Trainingsanzug;Trainingsanzug für Training und Wettkampf;bekleidung;XS;schwarz;Unisex;Leder;15,00;22,19;26;5;Martial Arts Supply;Fairtex;ART-53743;3,33;Set;<NULL>;1;1792447200;1792447200;<NULL>;e404bc9f-7614-4f87-b00c-1364e426267c
Handschuhe;Handschuhe für Training und Wettkampf;training;L;pink;Damen;Kunstleder;45,00;64,09;3;3;Combat Sports Ltd.;Nike;ART-99403;3,18;Paar;<NULL>;1;1742511600;1742511600;<NULL>;34793924-3671-4a9d-b71b-f042af868fe4
Getränkeflasche;Getränkeflasche für Training und Wettkampf;zubehoer;42;lila;Damen;Kunstleder;80,00;151,44;20;3;Sports Unlimited;Nike;ART-68174;<NULL>;Flasche;<NULL>;0;1793746800;1793746800;<NULL>;c86ed6c6-7742-4f6e-9e5d-adb984639d6e
Tiefschutz;Tiefschutz für Training und Wettkampf;boxen;XXL;pink;Unisex;Schaumstoff;23,00;45,91;14;4;Training SE;Rival;ART-77491;3,45;Flasche;<NULL>;0;1764802800;1764802800;<NULL>;b6c90cd2-fadd-4e1d-8255-fc52b302e8e0
Mundschutz;Mundschutz für Training und Wettkampf;boxen;einheitlich;orange;Herren;Nylon;15,00;29,20;34;5;Training SE;Adidas;ART-68378;2,75;Set;<NULL>;0;1767049200;1767049200;<NULL>;8ada90b6-6072-44a6-83af-b3fa40ea45b0
Mütze;Mütze für Training und Wettkampf;bekleidung;XS;gelb;Unisex;Kunstleder;80,00;147,52;22;4;Kampfsport AG;Nike;ART-21948;1,38;Stück;<NULL>;0;1738710000;1738710000;a6619a6d-3da0-4e47-9fa6-2e63595dffd1;f4eb5c7e-7e35-45fc-90a0-2f312d688711
Boxhandschuh-Tasche;Boxhandschuh-Tasche für Training und Wettkampf;zubehoer;S;gruen;Herren;Nylon;120,00;169,50;14;0;Martial Arts Supply;Nike;ART-56308;1,39;;<NULL>;0;1769382000;1769382000;<NULL>;8b659d10-74d5-4a17-b30a-08b17347bbd4
Handtuch;Handtuch für Training und Wettkampf;zubehoer;XL;schwarz;Damen;Nylon;15,00;22,89;14;5;Sports Unlimited;Venum;ART-43698;1,97;Paar;<NULL>;1;1759788000;1759788000;ceac30f0-9c27-4592-b95c-29775fc9a306;4bf2f096-0953-4180-b894-57308a6705f3
Boxhandschuhe;Boxhandschuhe für Training und Wettkampf;boxen;XS;silber;Herren;Nylon;45,00;78,57;14;3;Sport GmbH;Venum;ART-55329;<NULL>;Set;<NULL>;1;1752357600;1752357600;7472bb47-6d8b-475b-9653-c0e0d1cd2724;f94e36ca-c976-4ba7-bbd3-a3b3ecce815f
Schienbeinschoner;Schienbeinschoner für Training und Wettkampf;boxen;44;lila;Damen;Baumwolle;45,00;61,85;50;0;Kampfsport AG;Venum;ART-70465;3,74;Paar;<NULL>;1;1757628000;1757628000;<NULL>;c3cd13c3-89bf-4d3a-81be-349a4ac74c02
Boxsack;Boxsack für Training und Wettkampf;training;44;blau;Unisex;Schaumstoff;23,00;39,26;32;4;Training SE;Title;ART-58535;<NULL>;;<NULL>;0;1773270000;1773270000;dc8771ca-fb4e-46be-98d3-09bb781dfa95;01b7accf-d183-48f7-8846-ec1bcadbde29
Boxshort;Boxshort für Training und Wettkampf;bekleidung;44;blau;Damen;Schaumstoff;23,00;38,56;0;5;Sport GmbH;Hayabusa;ART-97493;3,75;Stück;<NULL>;1;1735772400;1735772400;<NULL>;e9d74b8f-68f5-4bf5-b612-27548d560f37
Getränkeflasche;Getränkeflasche für Training und Wettkampf;zubehoer;XS;schwarz;Damen;Leder;80,00;140,87;30;4;Sport GmbH;Everlast;ART-40137;<NULL>;Stück;<NULL>;1;1788991200;1788991200;9f256a58-9cbc-4451-b1ee-c314430b1d83;5df4fd41-e5a9-4fd9-93d8-f49ad112a23b
Schienbeinschoner;Schienbeinschoner für Training und Wettkampf;boxen;XS;weiss;Unisex;Leder;15,00;27,69;34;3;Combat Sports Ltd.;Adidas;ART-98778;<NULL>;Paar;<NULL>;0;1788300000;1788300000;7e6e97c2-cb63-42cd-9e47-d86d7aa0c621;1ee9edbd-35f5-470d-9c44-19c4deba0357
T-Shirt;T-Shirt für Training und Wettkampf;bekleidung;XL;schwarz;Herren;Leder;120,00;218,09;45;2;Sport GmbH;Everlast;ART-96073;3,77;Set;<NULL>;1;1778104800;1778104800;<NULL>;6fdc6ccc-c5ef-45a5-8614-26f8fc1a7ef6
Springseil;Springseil für Training und Wettkampf;training;44;silber;Herren;Polyester;23,00;37,13;40;5;Martial Arts Supply;Everlast;ART-93984;1,20;Set;<NULL>;1;1788040800;1788040800;<NULL>;efdd3103-c239-4f95-80ea-60c66d2e236d
Trainingsanzug;Trainingsanzug für Training und Wettkampf;bekleidung;XXL;gelb;Herren;Schaumstoff;34,00;64,09;42;3;Kampfsport AG;Venum;ART-62170;0,30;Set;<NULL>;1;1787522400;1787522400;<NULL>;f682e2dc-2675-435a-b5cc-fd536f3a3e2c
Springseil;Springseil für Training und Wettkampf;training;XS;silber;Unisex;Latex;45,00;74,81;26;1;Training SE;Nike;ART-75424;2,28;;<NULL>;0;1783893600;1783893600;<NULL>;b76a80a1-4dc6-41e6-b5b7-f009d802f45c
Handschuhe;Handschuhe für Training und Wettkampf;training;44;silber;Unisex;Baumwolle;15,00;20,92;5;4;Martial Arts Supply;Nike;ART-99935;3,63;Set;<NULL>;0;1781128800;1781128800;<NULL>;f942ec0a-cbb6-46b6-882b-388f91a5ecca
T-Shirt;T-Shirt für Training und Wettkampf;bekleidung;42;schwarz;Unisex;Latex;23,00;34,15;23;1;Training SE;Hayabusa;ART-31454;1,69;Flasche;<NULL>;1;1747519200;1747519200;<NULL>;0445db56-fc88-440c-afc8-8157fc46d83f
T-Shirt;T-Shirt für Training und Wettkampf;bekleidung;XL;pink;Herren;Polyester;23,00;44,49;10;4;Training SE;Title;ART-85553;1,52;;<NULL>;0;1757800800;1757800800;<NULL>;a8e5bbdb-c12c-4299-9a67-2eddb7c653b9
Boxshort;Boxshort für Training und Wettkampf;bekleidung;XL;lila;Damen;Latex;60,00;97,83;12;1;Sports Unlimited;Nike;ART-49184;0,72;Paar;<NULL>;1;1797030000;1797030000;336a59cc-98c9-4255-b7a7-30731d1f6fd0;b9f606a2-0083-488f-9b1f-8f4439398e83
Boxsack;Boxsack für Training und Wettkampf;training;46;orange;Damen;Latex;120,00;217,67;4;3;Sports Unlimited;Rival;ART-10161;<NULL>;Set;<NULL>;1;1793833200;1793833200;e5242baa-abcd-4241-9b2d-b260af241594;5aa7bf64-065a-4d74-abf1-b159742434a9
Boxhandschuhe;Boxhandschuhe für Training und Wettkampf;boxen;XS;blau;Herren;Nylon;60,00;119,20;39;2;Training SE;Rival;ART-69722;0,33;Paar;<NULL>;1;1753567200;1753567200;<NULL>;48ca6cec-f93f-4271-a22a-872fe34fde1c
Boxhandschuhe;Boxhandschuhe für Training und Wettkampf;boxen;XL;weiss;Herren;Schaumstoff;15,00;25,07;29;1;Combat Sports Ltd.;Rival;ART-75951;<NULL>;Set;<NULL>;0;1774994400;1774994400;<NULL>;392aa8ff-0fdc-44bd-94b6-91e8ed1c7951
Springseil;Springseil für Training und Wettkampf;training;einheitlich;schwarz;Herren;Nylon;15,00;20,92;29;0;Combat Sports Ltd.;Everlast;ART-77996;<NULL>;;<NULL>;0;1760997600;1760997600;<NULL>;cd664735-285e-43b4-b597-3591a329600a
Kapuzenpullover;Kapuzenpullover für Training und Wettkampf;bekleidung;XL;rot;Unisex;Baumwolle;60,00;98,88;45;0;Sport GmbH;Hayabusa;ART-85895;4,86;Set;<NULL>;1;1786399200;1786399200;<NULL>;1b99ff4b-27fa-4b88-a06e-8ca56a46530a
Trainingsjacke;Trainingsjacke für Training und Wettkampf;bekleidung;44;lila;Damen;Latex;23,00;34,36;6;1;Fitness OHG;Everlast;ART-99975;3,52;Flasche;<NULL>;1;1756850400;1756850400;1e4b846b-eabb-4115-bad3-798932f30faa;86592f2e-9470-4932-a6da-8cb365b67897
Mundschutz;Mundschutz für Training und Wettkampf;boxen;42;lila;Herren;Polyester;80,00;151,68;6;1;Combat Sports Ltd.;Nike;ART-40966;3,78;;<NULL>;1;1786831200;1786831200;<NULL>;a7d7277c-9da6-4174-b589-693565be477f
Springseil;Springseil für Training und Wettkampf;training;42;gelb;Damen;Latex;34,00;57,13;5;3;Fitness OHG;Everlast;ART-83453;<NULL>;Flasche;<NULL>;0;1773961200;1773961200;<NULL>;61e7f1cf-9f67-43d6-8601-de979ac3e80f
Boxsack;Boxsack für Training und Wettkampf;training;L;rot;Unisex;Latex;34,00;44,36;36;5;Training SE;Adidas;ART-76923;3,70;;<NULL>;1;1772146800;1772146800;<NULL>;aaaa07cc-b593-48cc-a4b6-4fccd6e71381
Trainingsjacke;Trainingsjacke für Training und Wettkampf;bekleidung;S;schwarz;Damen;Nylon;120,00;179,86;13;2;Combat Sports Ltd.;Rival;ART-50122;0,15;Paar;<NULL>;1;1761606000;1761606000;ba39f795-2d38-42ff-88df-b744d8e871ea;1b8167bf-864e-454d-8a22-803be16dd2c6
Kopfschutz;Kopfschutz für Training und Wettkampf;boxen;S;silber;Unisex;Latex;15,00;26,77;23;4;Sports Unlimited;Title;ART-89560;<NULL>;Flasche;<NULL>;0;1754258400;1754258400;<NULL>;80287c85-bff2-4f67-880e-af34cde729e1
Handschuhe;Handschuhe für Training und Wettkampf;training;44;schwarz;Unisex;Latex;15,00;20,31;27;2;Boxwelt KG;Venum;ART-76170;3,74;Paar;<NULL>;1;1736463600;1736463600;dbdf5073-3f87-4b9a-b5d6-f7f7b1a97cc7;e87ca86b-2549-4622-bb26-8efc59261373
Bandagen;Bandagen für Training und Wettkampf;boxen;M;schwarz;Unisex;Schaumstoff;23,00;44,46;16;2;Fitness OHG;Hayabusa;ART-14572;2,21;Paar;<NULL>;1;1744668000;1744668000;<NULL>;a6bf5630-175f-49b9-88c4-6d8ba16bec57
Boxhandschuh-Tasche;Boxhandschuh-Tasche für Training und Wettkampf;zubehoer;einheitlich;blau;Unisex;Leder;60,00;115,38;19;1;Training SE;Title;ART-75030;<NULL>;Set;<NULL>;0;1749506400;1749506400;<NULL>;61904805-eb2c-4aa3-b74e-e7711676a50b
Boxshort;Boxshort für Training und Wettkampf;bekleidung;XS;schwarz;Herren;Schaumstoff;60,00;96,47;45;4;Boxwelt KG;Everlast;ART-52152;4,08;Stück;<NULL>;0;1741820400;1741820400;9749a6d1-97ff-4323-950e-108b902655bd;756f82e5-272a-4ebc-805b-06d6ce8b9079
Schienbeinschoner;Schienbeinschoner für Training und Wettkampf;boxen;XXL;gruen;Damen;Schaumstoff;60,00;86,62;34;1;Kampfsport AG;Venum;ART-92552;3,77;;<NULL>;1;1746568800;1746568800;<NULL>;32ea93fa-b7aa-469d-b1a3-72ed5781f059
Mütze;Mütze für Training und Wettkampf;bekleidung;XL;pink;Unisex;Leder;60,00;99,53;18;4;Kampfsport AG;Adidas;ART-74136;3,10;Flasche;<NULL>;0;1790287200;1790287200;<NULL>;1b19c8da-9b54-4647-8579-8b606ebf884c
Boxhandschuh-Tasche;Boxhandschuh-Tasche für Training und Wettkampf;zubehoer;42;gelb;Unisex;Nylon;60,00;91,23;49;1;Martial Arts Supply;Nike;ART-17120;4,74;Set;<NULL>;0;1781042400;1781042400;<NULL>;c877493b-d73c-4ae7-b036-cf0f56f028e7
Springseil;Springseil für Training und Wettkampf;training;M;blau;Herren;Baumwolle;23,00;32,63;14;4;Fitness OHG;Fairtex;ART-13879;0,40;Stück;<NULL>;0;1797202800;1797202800;<NULL>;e51da2cc-349b-49a2-a61e-df09664f3b74
Bandagen;Bandagen für Training und Wettkampf;boxen;einheitlich;lila;Damen;Nylon;45,00;89,48;21;0;Fitness OHG;Rival;ART-61142;2,33;Paar;<NULL>;0;1796770800;1796770800;<NULL>;1746faca-5a27-427c-9d5d-467c13332f6f
Handtuch;Handtuch für Training und Wettkampf;zubehoer;46;pink;Herren;Leder;60,00;90,60;6;4;Sport GmbH;Fairtex;ART-93497;2,82;Set;<NULL>;0;1795906800;1795906800;517c1400-973d-421f-a3a6-123dfe545c67;29c84389-780f-4bcc-a7a6-9bba1a3c9644
Hose;Hose für Training und Wettkampf;bekleidung;XS;schwarz;Damen;Leder;45,00;81,08;44;4;Boxwelt KG;Adidas;ART-83642;1,48;;<NULL>;1;1769382000;1769382000;<NULL>;bd288ddd-f9ed-4676-8a8b-15c613260ff5
Boxshort;Boxshort für Training und Wettkampf;bekleidung;44;gruen;Damen;Polyester;34,00;66,80;31;5;Training SE;Rival;ART-36544;<NULL>;;<NULL>;0;1752098400;1752098400;1e4b846b-eabb-4115-bad3-798932f30faa;d95fc06b-6648-4cbe-9359-cc93f929bc23
Trainingsanzug;Trainingsanzug für Training und Wettkampf;bekleidung;XS;gelb;Herren;Leder;80,00;125,85;9;3;Martial Arts Supply;Title;ART-89351;1,66;Stück;<NULL>;0;1798412400;1798412400;<NULL>;4be9dc19-dc7b-4f87-8508-f16e297eb32e
Boxsack;Boxsack für Training und Wettkampf;training;42;pink;Herren;Baumwolle;45,00;73,85;16;3;Martial Arts Supply;Title;ART-66429;4,56;Set;<NULL>;0;1742857200;1742857200;<NULL>;4acdb2d7-cb51-41ca-b630-6756418248ae
Tiefschutz;Tiefschutz für Training und Wettkampf;boxen;XXL;rot;Damen;Schaumstoff;120,00;182,59;21;0;Fitness OHG;Everlast;ART-12848;3,16;;<NULL>;1;1758060000;1758060000;4503e16e-176a-4217-938f-b1b525e8f9e8;ae68ff53-ff81-4eb7-bea0-19ffec42c0a3
Pratze;Pratze für Training und Wettkampf;training;42;blau;Unisex;Kunstleder;120,00;159,21;34;0;Sports Unlimited;Title;ART-36172;<NULL>;Flasche;<NULL>;1;1785535200;1785535200;<NULL>;52fc738a-f5f1-47a3-a6c3-e69d22da3bcf
Getränkeflasche;Getränkeflasche für Training und Wettkampf;zubehoer;L;orange;Herren;Schaumstoff;34,00;58,24;0;0;Kampfsport AG;Adidas;ART-64103;2,89;Stück;<NULL>;1;1755640800;1755640800;<NULL>;dc9b34b3-9387-432b-966b-37b3db470748
Boxshort;Boxshort für Training und Wettkampf;bekleidung;L;silber;Damen;Latex;34,00;52,13;24;5;Martial Arts Supply;Title;ART-63430;<NULL>;Flasche;<NULL>;0;1740092400;1740092400;<NULL>;9f6a385c-c974-4ce1-a75f-40c18707944a
Kapuzenpullover;Kapuzenpullover für Training und Wettkampf;bekleidung;46;blau;Herren;Baumwolle;120,00;186,76;28;4;Fitness OHG;Everlast;ART-26725;1,19;Set;<NULL>;0;1798326000;1798326000;<NULL>;ca05bde2-ea45-4a1b-b8a3-87d0bdce98bd
Kapuzenpullover;Kapuzenpullover für Training und Wettkampf;bekleidung;XXL;weiss;Herren;Kunstleder;23,00;43,44;30;2;Kampfsport AG;Title;ART-86780;4,80;Flasche;<NULL>;1;1743202800;1743202800;<NULL>;ac053e74-30ce-439a-8289-020167e1ab77
Springseil;Springseil für Training und Wettkampf;training;einheitlich;weiss;Unisex;Latex;23,00;39,94;9;4;Kampfsport AG;Nike;ART-46129;3,99;;<NULL>;1;1773356400;1773356400;ffab6527-6e32-4ab5-baee-bf76c9b73895;de3f5afc-3aae-4424-8004-77c0111d2b2c
Boxhandschuh-Tasche;Boxhandschuh-Tasche für Training und Wettkampf;zubehoer;M;schwarz;Herren;Baumwolle;23,00;42,19;2;4;Sport GmbH;Hayabusa;ART-65842;2,03;;<NULL>;1;1762988400;1762988400;<NULL>;1393cd63-9c6f-4e55-b633-79846510206d
Kopfschutz;Kopfschutz für Training und Wettkampf;boxen;42;silber;Damen;Leder;80,00;123,62;23;3;Sport GmbH;Nike;ART-76086;3,02;;<NULL>;0;1763938800;1763938800;<NULL>;61913d77-5a56-41a8-a6fc-025909a8568f
Mundschutz;Mundschutz für Training und Wettkampf;boxen;S;blau;Herren;Polyester;15,00;29,97;49;2;Kampfsport AG;Adidas;ART-91072;4,15;Flasche;<NULL>;1;1752703200;1752703200;<NULL>;fb917dd3-ae68-45ae-aaf9-c226b8f07ddf
Boxhandschuhe;Boxhandschuhe für Training und Wettkampf;boxen;XL;orange;Unisex;Polyester;34,00;62,76;29;2;Kampfsport AG;Hayabusa;ART-55647;2,73;Stück;<NULL>;1;1779314400;1779314400;<NULL>;271957b8-8441-42fe-b486-5a0824a089c1
Mundschutz;Mundschutz für Training und Wettkampf;boxen;44;orange;Herren;Kunstleder;23,00;45,75;41;3;Martial Arts Supply;Title;ART-95770;0,68;;<NULL>;0;1776204000;1776204000;d309016c-f28f-4bdf-ba87-f369ddc52ce1;0c7c4c6f-f8e8-435d-803b-a90b523785df
Handtuch;Handtuch für Training und Wettkampf;zubehoer;XS;rot;Unisex;Kunstleder;23,00;41,09;50;4;Sport GmbH;Venum;ART-79418;4,16;;<NULL>;0;1771974000;1771974000;<NULL>;bb8e5713-f664-4401-9f5f-49fe5276cc65
T-Shirt;T-Shirt für Training und Wettkampf;bekleidung;XS;lila;Herren;Schaumstoff;45,00;63,41;40;5;Combat Sports Ltd.;Everlast;ART-21182;<NULL>;Paar;<NULL>;1;1771542000;1771542000;<NULL>;f136846f-bfa2-4812-8de8-56d439236e30
Mütze;Mütze für Training und Wettkampf;bekleidung;M;rot;Unisex;Latex;34,00;61,81;47;4;Fitness OHG;Title;ART-61658;4,66;Set;<NULL>;1;1779832800;1779832800;<NULL>;6d09f8d1-f26a-4fae-adc7-c65df974d193
Boxhandschuh-Tasche;Boxhandschuh-Tasche für Training und Wettkampf;zubehoer;42;pink;Damen;Latex;60,00;91,88;42;2;Boxwelt KG;Title;ART-88619;3,52;Set;<NULL>;1;1793401200;1793401200;<NULL>;986dbc23-862a-4c00-8693-eaf837abecc7
Kopfschutz;Kopfschutz für Training und Wettkampf;boxen;einheitlich;pink;Herren;Schaumstoff;34,00;59,21;50;1;Sports Unlimited;Everlast;ART-27604;0,94;Paar;<NULL>;0;1758578400;1758578400;<NULL>;8b132cfc-ee2d-4624-b5fc-c5327d3ab57e
Kopfschutz;Kopfschutz für Training und Wettkampf;boxen;S;blau;Damen;Kunstleder;60,00;78,47;38;3;Boxwelt KG;Hayabusa;ART-75923;<NULL>;Flasche;<NULL>;1;1794524400;1794524400;b45da00c-7b5e-449f-a031-a08580d0218b;6ba36faf-d8fc-40e1-98b9-0031c58ad813
Tiefschutz;Tiefschutz für Training und Wettkampf;boxen;XS;gruen;Damen;Polyester;15,00;19,83;2;0;Sports Unlimited;Venum;ART-94707;<NULL>;Flasche;<NULL>;0;1741474800;1741474800;25232cea-6741-4527-8ab5-c807605d2747;73697480-6ed0-4914-822d-d9aedac0f4bc
Getränkeflasche;Getränkeflasche für Training und Wettkampf;zubehoer;einheitlich;schwarz;Herren;Nylon;23,00;42,22;21;2;Combat Sports Ltd.;Everlast;ART-42429;0,29;Flasche;<NULL>;1;1765839600;1765839600;<NULL>;ce580036-4a46-4627-9835-4e1c40a242a9
Boxhandschuh-Tasche;Boxhandschuh-Tasche für Training und Wettkampf;zubehoer;42;orange;Unisex;Schaumstoff;45,00;76,56;6;5;Fitness OHG;Adidas;ART-64271;1,82;;<NULL>;1;1751493600;1751493600;<NULL>;d03d7698-a32a-4ee2-9a72-7aa87aa88e58
Bandagen;Bandagen für Training und Wettkampf;boxen;46;schwarz;Damen;Nylon;45,00;74,80;32;3;Kampfsport AG;Hayabusa;ART-64856;1,79;Flasche;<NULL>;0;1789077600;1789077600;<NULL>;b5c75cbe-498d-47f6-9e59-fc7c31899670
T-Shirt;T-Shirt für Training und Wettkampf;bekleidung;L;orange;Damen;Polyester;15,00;20,29;21;3;Sport GmbH;Rival;ART-97374;4,75;Stück;<NULL>;1;1784239200;1784239200;fc1c1da8-52e8-4849-9e08-8942f09a9b9f;7eff3ef9-77d0-4ece-b08d-4a305090e6a3
Kopfschutz;Kopfschutz für Training und Wettkampf;boxen;L;silber;Herren;Baumwolle;45,00;66,44;30;0;Martial Arts Supply;Everlast;ART-98120;1,01;Paar;<NULL>;0;1776722400;1776722400;<NULL>;12635376-d07b-4785-afa0-d01c3785d5b8
