name;preis_uuid;laufzeit;bemerkung_uuid;uuid
Muay Thai;ed54419b-8368-4ce3-900d-535ba61edb1b;quartalsweise;<NULL>;febdefa5-5448-4fbf-8c08-6d1670a8e413
Mixed Martial Arts;a9fb9ed2-9aa7-44f9-a335-7ad24bab80d8;monatlich;55828957-6826-4cd8-a80b-64ea83ca8029;ee8c9920-6e6f-46ef-8e56-55fa418a50cf
Wing Chun;864a353f-3800-4bf0-a9ba-2af16cde7bfa;einmalig;3c8b70c1-0765-47e0-b8de-7276b3213473;449199ac-e109-4204-baab-6699cd15c941
Judo;cfff318e-322d-4da1-9111-ad8376ff44a3;jaehrlich;e5242baa-abcd-4241-9b2d-b260af241594;124a6ada-0aa6-49ce-8e21-64cc68a7f8c4
Krav Maga;36ee43ab-962e-4801-92c0-ce42dbba43e2;jaehrlich;9618b89d-8927-48f6-9b51-a6b0fb8c6650;e549c39c-6e9e-4e3d-8993-e24336856290
Mixed Martial Arts;854463a5-61c5-462a-9aee-6351106cff98;einmalig;c4460576-682c-4700-99bd-cb9f55704e4e;abe8f011-7aed-4012-b5fa-2ee19b3e0204
Ausdauertraining;1e48293a-3dc3-43aa-9963-0a97d4969bea;einmalig;<NULL>;83a09039-a6d0-4bf0-94c3-ff782b24b4cb
Muay Thai;e7b82d0b-51db-4103-a03b-f33cdcbe4548;quartalsweise;486ba015-5f03-48c9-a4c4-d6b7ee0e043c;813e995d-b634-4e88-acec-7d0ac979157e
Taekwondo;daa9f974-f1ec-4f89-bb54-d4bce2f2150c;quartalsweise;05e7f197-0789-4f3c-90a3-01a9e301b6d4;51a615cc-4efa-4890-b11a-bef6daa7e47b
Wing Chun;9f63afc6-21ad-44b0-aaaf-82f67985c24d;jaehrlich;6258b032-9c52-414c-8a22-37e46c40cfee;01730484-a2ff-4bf6-8005-04496193c7bf
Brazilian Jiu-Jitsu;84a1ce77-c6c2-4a3b-8e0e-4eff48f6f1b0;einmalig;0dfbefcc-886e-42ca-8ef9-691eac488ac3;d434b4c8-d99e-4512-8211-a118d0b22565
Karate;ffdd7d2b-ed31-4205-9f37-8d11cc42c2f2;monatlich;<NULL>;2c27f944-4215-4174-bf79-e487a6be0c92
Escrima;c3fbc708-46ac-43dd-bdb7-9b1426c62138;monatlich;<NULL>;3602913f-e221-4550-a120-1f6f665709e1
Muay Thai;492b7233-8f5a-41c3-94af-e9a837328b31;einmalig;<NULL>;f03929ab-6c35-4955-87ee-6e83548498ed
Aikido;f5a32c77-8e74-490e-b678-3af0cb92ac8b;einmalig;<NULL>;7c887908-7e14-4c68-846d-0cb1ba8966e3
Krav Maga;0a3f908e-f71c-4056-a083-51327040bb29;monatlich;d36b1a90-083d-4844-8e5b-92f3c254f2f5;3d33f3d7-01e8-40bb-b328-b3c54bac1375
Aikido;c26c4b61-17dc-4bca-97a0-260b067694a0;quartalsweise;e5b2d0a4-e600-42d3-992d-9768ef7c41f3;0548ba65-62ed-42a7-8eea-3ceae33c29b1
Brazilian Jiu-Jitsu;9bf1aa28-2660-4fd9-a2a7-c2beda27ff65;monatlich;<NULL>;cb86f424-ea0a-4de8-b013-47c8a0814ea6
Krav Maga;f7986ca4-ffc4-453b-a51f-327ea732b868;monatlich;<NULL>;4c33edce-615a-45fd-af33-c0075a0affe0
Kickboxen;30cde7aa-648b-4d46-93b2-c3b520b521d3;jaehrlich;465436bc-308e-492f-836d-565d69388565;b63b962c-9d02-45cd-8269-c9f849ab698f
Selbstverteidigung;178f3f27-b303-4cff-adfd-7e5e785c4409;monatlich;<NULL>;d4f3c9c2-0e13-426d-a4b1-b29ae14abb88
Mixed Martial Arts;ed5d1b6b-e046-4c44-86d3-8cef7e792df6;quartalsweise;9fbe7740-be49-4d47-9faf-e2d4103da200;70406418-3a1f-4deb-9935-6a9d942d1130
Aikido;46513b7f-b411-4bf5-a5ff-425e20bd18bb;einmalig;<NULL>;a8c5e0bf-8fc1-42d7-9189-cf3eeb39db57
Wing Chun;88291502-71c7-42de-9013-b2b63f242e51;einmalig;<NULL>;a67cbfa9-b4ee-414f-8176-f581d5c12728
Fitnessboxen;09c638f8-811f-4eee-82de-98eb42c4f579;quartalsweise;<NULL>;c1de4027-b2c3-4889-92c8-7202bcd08af2
Mixed Martial Arts;182c3dc4-a12b-44ec-98be-cce4da5324e0;einmalig;<NULL>;95d492d3-cece-4c2f-802c-d344ef8750b3
Selbstverteidigung;76a62068-efb9-45ce-a8f0-231196b666cc;jaehrlich;<NULL>;5312aa2b-feca-47fc-97f1-a69645f4d2e5
Krafttraining;f0e3f803-a202-4404-b4c0-3de9323c05d9;quartalsweise;<NULL>;dcd5996f-09ba-42a6-8830-01b3b67f5b83
Krafttraining;e40be276-ab85-46c8-abd0-d613dc79a270;einmalig;ea43ce5b-a88a-4d15-8404-522b164861e7;ba10f03e-115d-48e3-822a-0bfd4557234f
Capoeira;8f3f6cd3-471c-4b31-92b3-ff87ac242c8d;monatlich;336a59cc-98c9-4255-b7a7-30731d1f6fd0;57d618bd-ba8c-49a9-88a4-e34d17955a28
Capoeira;1db64250-bff4-4bb9-9f54-9af735826b57;jaehrlich;afdb9e5d-73bc-4d55-8e65-623fab859ac9;3bf136e6-b32a-4d4e-ad0f-3202a7378168
Kung Fu;8f3f6cd3-471c-4b31-92b3-ff87ac242c8d;jaehrlich;<NULL>;3fc16fcf-7373-4ed9-869b-1698ebbd7662
Karate;f0e3f803-a202-4404-b4c0-3de9323c05d9;jaehrlich;<NULL>;2393b703-6a02-49ca-857a-3e322bbaaf45
Wing Chun;0bfef360-f0de-47e9-9ebd-cfdd86febe65;monatlich;498ba623-8b96-4b86-84ec-50cc347d9c9a;b7713c6c-de56-4884-8431-fc59b7ca69df
Yoga für Kämpfer;ed54419b-8368-4ce3-900d-535ba61edb1b;jaehrlich;<NULL>;2b483d5b-e269-4b66-8b6b-29d2b58efa3f
Ausdauertraining;1ebc295c-56d2-4f8a-b85d-7d2ec6ce38d6;quartalsweise;8ad84b36-b191-44ab-b518-885c2206eebd;0ff57165-fe3f-47ae-bc3b-de955906f00a
Judo;f5a32c77-8e74-490e-b678-3af0cb92ac8b;quartalsweise;9fbe7740-be49-4d47-9faf-e2d4103da200;960f86d1-acee-4a08-90ee-2356e01379cf
Brazilian Jiu-Jitsu;e7b82d0b-51db-4103-a03b-f33cdcbe4548;einmalig;<NULL>;b34f6157-4f8f-416a-af01-414845e1ac53
Karate;cf87bf47-7ca7-4894-8b2a-de6658fb4905;monatlich;<NULL>;46d6f948-528a-4502-81ae-37da05284253
Karate;0bfef360-f0de-47e9-9ebd-cfdd86febe65;jaehrlich;9cffa427-5110-4813-b202-907b44780803;9ed48828-d685-45fe-8985-f83306e6afb3
Kung Fu;c3fbc708-46ac-43dd-bdb7-9b1426c62138;jaehrlich;<NULL>;b44abaa9-1c8b-4230-8f40-e455810f7407
Selbstverteidigung;b2c8eed0-05a0-44bb-b298-125e11872c55;einmalig;<NULL>;e7194c5a-6a4b-4535-aeb9-c4ea1d1da838
Krav Maga;3680af84-3860-4476-999d-f9a1e556d69f;einmalig;517c1400-973d-421f-a3a6-123dfe545c67;c88024a0-7e38-4955-bb64-32b0134d41c4
Krafttraining;ed5d1b6b-e046-4c44-86d3-8cef7e792df6;jaehrlich;e5242baa-abcd-4241-9b2d-b260af241594;c0e84721-9b66-48b8-bce9-14106159edbd
Capoeira;0a3f908e-f71c-4056-a083-51327040bb29;monatlich;1b615d25-d8e9-4b3e-ba29-83c837b58300;fd39126f-17f8-4dfa-b333-05cc43a84276
Aikido;986d7489-3127-464f-a9b2-03d88adf1522;jaehrlich;<NULL>;42fd075e-3f12-48f1-988a-6dfcca16773c
Capoeira;fdf576db-12e0-4e5f-9f1d-22e3251591d6;quartalsweise;7e6e97c2-cb63-42cd-9e47-d86d7aa0c621;aaadabf6-7fcd-4fbc-b689-1e8c687de4af
Capoeira;dbb20907-294c-4d7c-a50d-674f944cf803;jaehrlich;25232cea-6741-4527-8ab5-c807605d2747;72eb5c7a-e64f-41a4-8ec5-10f0fad5bc64
Boxen;210ffe50-fe09-4385-8551-9df2c3e30bd1;quartalsweise;<NULL>;71b20752-d04d-4a94-83f1-8a3bfc62140d
Ausdauertraining;ffdd7d2b-ed31-4205-9f37-8d11cc42c2f2;jaehrlich;05e7f197-0789-4f3c-90a3-01a9e301b6d4;468f8ee9-211b-461b-b9d3-cbf2f685e143
Muay Thai;cfff318e-322d-4da1-9111-ad8376ff44a3;monatlich;<NULL>;fd9d87c9-7f0e-46cd-b09e-675e287c84b3
Selbstverteidigung;8c13ca50-b7c4-4d87-bebd-38db2fb5c510;einmalig;c0272123-276c-4b12-a1fe-ef635bc8154d;b62fbb0f-1968-4bf5-b1c4-c2d28482be67
Krafttraining;06fde8c7-205f-4be1-b5f7-f0f389da9b00;einmalig;396fcc23-a4ad-47a0-a718-f42abbd86c92;8b82bc0f-c120-4d65-bae5-de543b1ff6a3
Ringen;e320e3cd-bb1b-4a5c-b569-243a8ad55dfc;quartalsweise;1e4b846b-eabb-4115-bad3-798932f30faa;0457fc21-e2f0-42c4-9572-2b2771a29d5c
Wing Chun;48f8cfde-6f42-45aa-8d19-9463aa505b0a;quartalsweise;<NULL>;ddd59095-8dbe-4402-9d3b-730d65ad8481
Boxen;3e8d1640-332b-4689-8803-48429db952f7;einmalig;fccb2da4-5c67-4818-9baf-2cf1f62a6f43;f4f4b98c-6d69-4cdd-ba63-4c1e26249eba
Muay Thai;8c13ca50-b7c4-4d87-bebd-38db2fb5c510;jaehrlich;9618b89d-8927-48f6-9b51-a6b0fb8c6650;7d3e1b4c-4f25-429f-b73a-24b0709757b2
Kickboxen;9bf1aa28-2660-4fd9-a2a7-c2beda27ff65;monatlich;d309016c-f28f-4bdf-ba87-f369ddc52ce1;8ce61b54-f49b-47a6-b2ff-7dc5ae90757f
Krafttraining;3a7b3525-354e-47ce-b547-65c8a00ec83a;einmalig;d309016c-f28f-4bdf-ba87-f369ddc52ce1;fd8528f9-7b01-4fb8-9cfa-4f68938b5480
Yoga für Kämpfer;529e6ef3-862a-4dd5-a6eb-1aee99d66bee;quartalsweise;<NULL>;6628b751-e9da-49e1-a067-c645727bc173
Selbstverteidigung;0bfef360-f0de-47e9-9ebd-cfdd86febe65;einmalig;9749a6d1-97ff-4323-950e-108b902655bd;1b5a746b-f49a-48c0-b9ce-27dcd1b2d1ae
Selbstverteidigung;707f48ac-d4b5-4374-9824-88610b8a4825;quartalsweise;<NULL>;c8e56db2-0aec-4d63-8074-1ab731ea2f8c
Capoeira;ffdd7d2b-ed31-4205-9f37-8d11cc42c2f2;quartalsweise;<NULL>;86cdfbd0-f0b8-4a14-b783-e0a6dcff18c4
Yoga für Kämpfer;0a3f908e-f71c-4056-a083-51327040bb29;einmalig;2b98b3ea-3729-4487-938d-75b08359a852;9f8ec296-6154-473d-a244-0d1286a6ce01
Karate;e320e3cd-bb1b-4a5c-b569-243a8ad55dfc;monatlich;<NULL>;74e30bbb-8dda-4ca0-a270-42717fe55fd5
Muay Thai;3a7b3525-354e-47ce-b547-65c8a00ec83a;monatlich;<NULL>;eaa7cfc0-ff1b-4abf-a9bb-a9378c9310a1
Taekwondo;178f3f27-b303-4cff-adfd-7e5e785c4409;quartalsweise;<NULL>;0d21d866-51b9-44e5-a4fb-b5ee831766be
Escrima;a9fb9ed2-9aa7-44f9-a335-7ad24bab80d8;quartalsweise;<NULL>;c34996df-ef84-4630-a644-9bfbc5e17fa7
Ausdauertraining;75cd3ea0-93b5-413f-946a-d83badf6fa9f;monatlich;3970bb7a-a0ab-4de0-be29-ab413f40d221;c1c01722-6dc9-49ce-bfe4-47f17e88d074
Judo;7010a921-7144-44c5-8ae7-430bc0fe349e;monatlich;<NULL>;65b6f5e6-071e-4b7f-8ef7-842e746525f4
