rechnung_uuid;position_nr;waren_uuid;bezeichnung;menge;einzelpreis_netto;einzelpreis_brutto;mwst_satz;gesamt_netto;gesamt_brutto;uuid
2eb6cb78-52a7-47c2-ab86-a3945aa0f902;7;4be9dc19-dc7b-4f87-8508-f16e297eb32e;Artikel 625;3,00;23,70;28,20;19,00;71,10;84,60;7a0c1be4-dd7d-4df0-a313-507550cf3862
52603a0f-0862-44a2-a7b7-caab9a7b9117;19;ca05bde2-ea45-4a1b-b8a3-87d0bdce98bd;Artikel 950;4,00;55,38;65,90;19,00;221,52;263,60;3e79c595-8140-41f5-9788-2ffd985a3512
f68d7a08-8e6b-4b01-a3b7-234e86641e36;10;e404bc9f-7614-4f87-b00c-1364e426267c;Artikel 880;4,00;116,34;138,44;19,00;465,36;553,76;99e2ad21-1600-4d81-b7bc-3524aa7f3ed1
716f4175-0dfd-4dac-8760-cfa9cd816d66;16;f136846f-bfa2-4812-8de8-56d439236e30;Artikel 490;9,00;11,73;13,96;19,00;105,57;125,64;1fc93e8e-8d05-4db1-a0b8-69718a758607
9f42ea85-d101-491a-8f85-b764c1c2ee1f;7;8ada90b6-6072-44a6-83af-b3fa40ea45b0;Artikel 604;10,00;153,49;182,65;19,00;1.534,90;1.826,50;d94f0efc-05f9-40e0-8fc0-68dd6e94e2dc
c7ae7fba-5818-4f5f-a0af-c80740757473;11;2c4f1647-c8f7-4b64-b07f-e8dab26d5d17;Artikel 416;6,00;89,97;107,06;19,00;539,82;642,36;eaf9ba02-7910-4f39-a094-9e3045e2a023
b75f191a-d41c-4394-9f00-93992d7f3f36;11;1aa4a28e-57a4-4ad4-a861-a93309e17fe3;Artikel 949;4,00;24,15;28,74;19,00;96,60;114,96;95cc71d2-1cd0-4ae5-bd51-f5b818274320
1a9e18f1-2cb1-41ee-8f67-d8cd9d61cbda;16;7eff3ef9-77d0-4ece-b08d-4a305090e6a3;Artikel 27;3,00;43,11;51,30;19,00;129,33;153,90;f72c32c5-0045-45f3-94fb-cf7dd2e7e029
cdb5655a-9dc0-4279-88b2-aa2425d3429a;13;b6c90cd2-fadd-4e1d-8255-fc52b302e8e0;Artikel 46;6,00;25,18;29,96;19,00;151,08;179,76;064fd4a9-7d99-4343-923b-261b7540b34c
e01a2129-15f9-44c5-ac3a-eb153abfa49e;10;b76a80a1-4dc6-41e6-b5b7-f009d802f45c;Artikel 984;5,00;108,88;129,57;19,00;544,40;647,85;2d099017-795c-46e0-8426-482679d1e889
78e2c546-0991-44c8-bca2-f30c54a686bd;13;6eb02e1f-73c0-410e-9885-18136ed365d0;Artikel 949;10,00;72,09;85,79;19,00;720,90;857,90;dcfa101e-729b-4f61-b3d3-2dedbdd514b8
e3d9a944-85de-4908-b22f-469a4e7ad576;19;e9d74b8f-68f5-4bf5-b612-27548d560f37;Artikel 674;1,00;163,21;194,22;19,00;163,21;194,22;8bc63143-51f0-41ac-94b4-4ac4e5d1fa40
340e6490-53a5-4864-8e6e-345d41dced4e;6;b9f606a2-0083-488f-9b1f-8f4439398e83;Artikel 733;5,00;15,48;18,42;19,00;77,40;92,10;3d6b1f82-a4d4-4578-8136-288ac0d99f2d
7ee95646-7e9d-4ff5-b62d-e03a622f522a;2;b9f606a2-0083-488f-9b1f-8f4439398e83;Artikel 448;2,00;117,64;139,99;19,00;235,28;279,98;2148c714-ef35-4c85-9f27-4cad4f0877ba
d813f711-4e25-4646-9660-66a352c67952;18;e87ca86b-2549-4622-bb26-8efc59261373;Artikel 284;7,00;21,71;25,83;19,00;151,97;180,81;bf886cc5-cac2-4453-8b2f-a4791c7c735f
008055b2-2675-473a-885b-cab8bbc6a084;2;52fc738a-f5f1-47a3-a6c3-e69d22da3bcf;Artikel 89;9,00;148,30;176,48;19,00;1.334,70;1.588,32;de58f1f3-24b7-44a1-a8fa-fb6fac323a5a
15c76280-6530-43ae-a6c9-be242dc5b8a7;7;9951fb33-9c4b-4da5-be2b-8496e3af2ff9;Artikel 836;8,00;65,51;77,96;19,00;524,08;623,68;d1aa0473-e3cb-4193-a5e2-bca6ff6a0421
78e2c546-0991-44c8-bca2-f30c54a686bd;18;1ee9edbd-35f5-470d-9c44-19c4deba0357;Artikel 625;4,00;73,13;87,02;19,00;292,52;348,08;fce47048-6bf2-47db-8e17-4d05de9367b7
346d2a3a-4b05-4c46-b01f-98f3f2ec7e2c;20;8b132cfc-ee2d-4624-b5fc-c5327d3ab57e;Artikel 511;7,00;120,90;143,87;19,00;846,30;1.007,09;9967c4ab-4b44-4fa6-b680-2d5910fa63e7
158be5b8-e3fc-4153-b81a-1e9b5f44934f;1;f136846f-bfa2-4812-8de8-56d439236e30;Artikel 432;5,00;44,80;53,31;19,00;224,00;266,55;1b5842c0-7977-4016-a4e7-75f83845bed9
218bf942-2545-4a6e-8252-27b89e59e52f;9;d03d7698-a32a-4ee2-9a72-7aa87aa88e58;Artikel 295;4,00;25,32;30,13;19,00;101,28;120,52;0cd00f0c-c0a7-458f-9835-5c4abe8a5f24
51c84d17-119f-4c7d-b58b-4cea4ce1e0dc;18;ebdfed0b-0843-40cd-835a-cc2265aaf8d2;Artikel 559;8,00;90,72;107,96;19,00;725,76;863,68;a61a072d-713a-466f-862b-25bfeeabd258
1abedba3-003b-4203-bac3-3a13c8df6825;17;12635376-d07b-4785-afa0-d01c3785d5b8;Artikel 675;3,00;69,44;82,63;19,00;208,32;247,89;8c4495da-f856-45da-9c4d-8c78faaca5dc
e503bce8-7dfb-4edb-b1c5-c356ee81c74e;4;c3cd13c3-89bf-4d3a-81be-349a4ac74c02;Artikel 455;8,00;80,12;95,34;19,00;640,96;762,72;d2a8295f-4ae6-40c6-8eb9-4afa6216df6c
93caecb4-561d-4295-beec-26e2527a957c;3;6fdc6ccc-c5ef-45a5-8614-26f8fc1a7ef6;Artikel 934;3,00;99,03;117,85;19,00;297,09;353,55;fbbb1ef5-9589-4fce-9a34-69f5e21022f2
093c503a-faad-4bf6-ac89-f5933e908897;2;f4eb5c7e-7e35-45fc-90a0-2f312d688711;Artikel 468;3,00;90,20;107,34;19,00;270,60;322,02;a1aa5e78-d925-41f2-91e8-905f7a5c5c32
1abedba3-003b-4203-bac3-3a13c8df6825;4;6fdc6ccc-c5ef-45a5-8614-26f8fc1a7ef6;Artikel 878;5,00;36,13;42,99;19,00;180,65;214,95;0f610506-e694-4c7f-b5ed-03bcc1b13a2b
22bb021f-ae0f-4af8-ba64-fdecb45ccb71;18;4800e7e7-7365-4bed-8427-d59d3f9f894b;Artikel 775;7,00;125,20;148,99;19,00;876,40;1.042,93;696c1b27-5602-465d-8ef2-b738b491d75c
09e04a92-aea0-41ce-92e5-9eeeae7d51b3;17;13d55c37-28f3-44d5-b57c-2deedb1fb196;Artikel 325;2,00;161,34;191,99;19,00;322,68;383,98;bb7b70d0-98bf-4640-ab4c-2b7e2d6f3130
0133e27b-0a6e-4606-8ca4-16fb0e27a8ea;9;6fdc6ccc-c5ef-45a5-8614-26f8fc1a7ef6;Artikel 149;9,00;7,59;9,03;19,00;68,31;81,27;587b964e-5668-46d6-a84e-b84b3e8801ee
03e55643-8ae3-42d5-9cde-339789f6b3b8;15;60cb6f37-8fb9-4b25-9ebe-9049af59ffa4;Artikel 196;1,00;27,39;32,59;19,00;27,39;32,59;de8cca90-340b-43e9-9098-5bb8728f89a3
158be5b8-e3fc-4153-b81a-1e9b5f44934f;14;f136846f-bfa2-4812-8de8-56d439236e30;Artikel 702;5,00;41,62;49,53;19,00;208,10;247,65;6ca2f6e9-befd-420b-aa78-c55601204254
03e55643-8ae3-42d5-9cde-339789f6b3b8;12;a97f8609-290b-4248-8811-a217a49ddc50;Artikel 311;8,00;62,43;74,29;19,00;499,44;594,32;e17e9036-ff4e-4659-80f7-4268b940656a
15c76280-6530-43ae-a6c9-be242dc5b8a7;4;ca05bde2-ea45-4a1b-b8a3-87d0bdce98bd;Artikel 760;5,00;13,84;16,47;19,00;69,20;82,35;0c2c3684-7f55-47aa-a4e4-99c813f45b77
158be5b8-e3fc-4153-b81a-1e9b5f44934f;11;34793924-3671-4a9d-b71b-f042af868fe4;Artikel 379;10,00;52,96;63,02;19,00;529,60;630,20;5ae2ac1b-092c-4373-9f2a-b51ca726fd1c
cce8f503-2e5d-4c7e-a51d-fd6130e08695;19;ae68ff53-ff81-4eb7-bea0-19ffec42c0a3;Artikel 266;1,00;18,84;22,42;19,00;18,84;22,42;38258c9f-69ce-44e3-b7ef-53d3ccc480b2
2341867e-c571-4ba5-a1b0-5cf0794c4782;2;0c7c4c6f-f8e8-435d-803b-a90b523785df;Artikel 898;10,00;47,87;56,97;19,00;478,70;569,70;d39b9e11-c665-4a5a-9754-a6ad906dabcc
b75f191a-d41c-4394-9f00-93992d7f3f36;6;f942ec0a-cbb6-46b6-882b-388f91a5ecca;Artikel 106;10,00;101,98;121,36;19,00;1.019,80;1.213,60;08f42e87-592e-4be7-ad09-60f9363fbd91
e7d870c7-797b-4d1a-8b9c-52749b864081;6;12635376-d07b-4785-afa0-d01c3785d5b8;Artikel 838;4,00;70,69;84,12;19,00;282,76;336,48;88db145e-d782-48b7-9509-6e5f72cdea07
7c66be27-fb08-45d2-9971-c4648bd94818;6;1b19c8da-9b54-4647-8579-8b606ebf884c;Artikel 765;9,00;160,80;191,35;19,00;1.447,20;1.722,15;043a5617-2765-4512-937b-ec50560c5aab
03e55643-8ae3-42d5-9cde-339789f6b3b8;4;29c84389-780f-4bcc-a7a6-9bba1a3c9644;Artikel 977;10,00;125,84;149,75;19,00;1.258,40;1.497,50;a52fe894-ed57-43df-b76f-c6f5f8ba66dd
2eb6cb78-52a7-47c2-ab86-a3945aa0f902;9;1393cd63-9c6f-4e55-b633-79846510206d;Artikel 780;3,00;139,44;165,93;19,00;418,32;497,79;1b8d8e66-72c7-413d-b8cc-e0b05bbc0727
a1c24518-5173-4202-a03c-4b9714ebabfe;10;60a82d3d-5ae3-42dd-a0e2-13173d6f44ef;Artikel 873;2,00;112,28;133,61;19,00;224,56;267,22;4259c5f2-a46a-4e4b-b821-bdca681241da
a76321b9-c3ca-4c59-a73b-58788e536aa7;19;a7d7277c-9da6-4174-b589-693565be477f;Artikel 998;6,00;12,46;14,83;19,00;74,76;88,98;0e4dd83a-97de-49b6-9608-185251e8d375
7c66be27-fb08-45d2-9971-c4648bd94818;8;f682e2dc-2675-435a-b5cc-fd536f3a3e2c;Artikel 743;2,00;79,80;94,96;19,00;159,60;189,92;0e36831a-427b-468b-a9f6-9a41c8c84f5d
2c3577af-321c-4610-b852-ce7a69bd81ca;5;60cb6f37-8fb9-4b25-9ebe-9049af59ffa4;Artikel 490;5,00;118,50;141,01;19,00;592,50;705,05;48a56425-105d-4115-b786-ac10b6f7c7a9
e3d9a944-85de-4908-b22f-469a4e7ad576;10;48ca6cec-f93f-4271-a22a-872fe34fde1c;Artikel 406;10,00;17,30;20,59;19,00;173,00;205,90;24d03a9a-15cb-4a0a-bb68-6b5e6d48db6a
d813f711-4e25-4646-9660-66a352c67952;14;ebdfed0b-0843-40cd-835a-cc2265aaf8d2;Artikel 527;4,00;157,92;187,92;19,00;631,68;751,68;b366a580-f928-45ae-b729-f3f7d016c15b
4741c201-c2ba-4c6e-a4a4-43de070731a8;7;4bf2f096-0953-4180-b894-57308a6705f3;Artikel 572;3,00;64,66;76,94;19,00;193,98;230,82;f2e4f003-84c9-462e-b390-0cfddf67f6a3
8b4454bf-6152-48a9-a9c9-be11def09263;2;dc9b34b3-9387-432b-966b-37b3db470748;Artikel 519;10,00;9,87;11,75;19,00;98,70;117,50;824946e4-7577-4b91-a341-b891f853535d
ea29677e-adc6-4bf2-b2b3-70b773caaf6d;9;f682e2dc-2675-435a-b5cc-fd536f3a3e2c;Artikel 362;2,00;17,05;20,29;19,00;34,10;40,58;4d758876-10f5-4023-9d06-65515f300d3d
6427d10c-91b2-42e8-bb1d-4db709c3771c;19;ac053e74-30ce-439a-8289-020167e1ab77;Artikel 112;3,00;64,36;76,59;19,00;193,08;229,77;9a3181ac-45c6-492e-8678-0d0a1996d298
0b87b932-d715-4716-b257-a16903c154de;19;1393cd63-9c6f-4e55-b633-79846510206d;Artikel 463;2,00;26,85;31,95;19,00;53,70;63,90;559589d1-381d-42fa-bcce-2aa9483229b7
6913d23b-f8b9-43f4-b13a-4f2c043ec559;17;314dba24-9d0c-4c18-8218-e00a565dab77;Artikel 62;7,00;10,64;12,66;19,00;74,48;88,62;c9693d76-2658-4137-a734-c74f6a35f002
218bf942-2545-4a6e-8252-27b89e59e52f;15;b795a764-6804-49d5-a438-b7da60762168;Artikel 811;4,00;165,51;196,96;19,00;662,04;787,84;231ba071-14d3-42d2-8d78-7244b80b08ca
fee0804e-5f95-474f-a68a-2e25a1649870;14;a8e5bbdb-c12c-4299-9a67-2eddb7c653b9;Artikel 193;4,00;70,08;83,40;19,00;280,32;333,60;e55cd409-3ca0-47d8-bd3a-d934b6aefc99
93caecb4-561d-4295-beec-26e2527a957c;1;41640213-7f81-4161-8f31-b0a910f5797c;Artikel 960;1,00;84,81;100,92;19,00;84,81;100,92;64ae7539-ee21-4a2c-9e6a-a4c4da710592
7f2395f1-1561-40ea-8ea2-862de6e642aa;4;12635376-d07b-4785-afa0-d01c3785d5b8;Artikel 825;6,00;43,59;51,87;19,00;261,54;311,22;ef80b9ef-a2cc-4f92-9512-9b0219d1a7e5
f8b8e143-5884-48c0-9e56-41ff5715e102;11;8b659d10-74d5-4a17-b30a-08b17347bbd4;Artikel 795;6,00;76,76;91,34;19,00;460,56;548,04;3e37d624-4799-46ec-85c1-93504cc648e4
4741c201-c2ba-4c6e-a4a4-43de070731a8;1;ac053e74-30ce-439a-8289-020167e1ab77;Artikel 953;5,00;62,23;74,05;19,00;311,15;370,25;dc12245a-a277-4ccc-b085-f831851658ca
ba216be6-9199-4b2b-a511-ee14b37da42b;17;b76a80a1-4dc6-41e6-b5b7-f009d802f45c;Artikel 172;2,00;118,66;141,21;19,00;237,32;282,42;80e42b3f-7efc-4113-b555-bf07738211a7
49c159ea-f3cb-4ea6-8008-e8c5ffb853e8;1;4bf2f096-0953-4180-b894-57308a6705f3;Artikel 896;7,00;162,94;193,90;19,00;1.140,58;1.357,30;0a0ce046-dc58-4172-9c0d-3b4f6a4e7a82
76eadad1-399c-4303-b6b1-6ba81d6d02da;6;48ca6cec-f93f-4271-a22a-872fe34fde1c;Artikel 360;3,00;75,05;89,31;19,00;225,15;267,93;5502f5d1-1a2e-476e-bd86-2246bca5b049
6427d10c-91b2-42e8-bb1d-4db709c3771c;10;2781fda7-1464-4362-a22c-58b685e8e7ce;Artikel 287;1,00;12,31;14,65;19,00;12,31;14,65;235a3425-f8b1-482a-ba5c-fc4e29bcf14a
a23e1fa8-c7fe-47e4-bb26-5ac4c7096114;18;2cfa81bf-eba4-48df-9fec-7ba2a69c12b5;Artikel 252;4,00;100,99;120,18;19,00;403,96;480,72;c3cf4d81-83f7-4d19-b353-91b42da76063
ea29677e-adc6-4bf2-b2b3-70b773caaf6d;4;73697480-6ed0-4914-822d-d9aedac0f4bc;Artikel 90;4,00;122,42;145,68;19,00;489,68;582,72;98268340-f5d0-4c7c-9741-ccde76397e24
8e32328c-7d0d-4724-bfb5-a2a02da1a679;14;80287c85-bff2-4f67-880e-af34cde729e1;Artikel 977;1,00;107,78;128,26;19,00;107,78;128,26;139616f5-5c4a-49cc-878a-89af468cb5bf
40730131-8a7c-4b56-95cb-bac3ac72e21d;7;bb8e5713-f664-4401-9f5f-49fe5276cc65;Artikel 363;2,00;19,19;22,84;19,00;38,38;45,68;05424699-ac14-410d-b911-82f71f01affa
1745eed0-2039-40c1-8d09-c9346d05f5ad;5;4bf2f096-0953-4180-b894-57308a6705f3;Artikel 845;8,00;45,47;54,11;19,00;363,76;432,88;d249952d-08ab-4079-8b08-7638dfa38556
218bf942-2545-4a6e-8252-27b89e59e52f;12;8b659d10-74d5-4a17-b30a-08b17347bbd4;Artikel 819;10,00;111,97;133,24;19,00;1.119,70;1.332,40;9c59c5d0-5f12-4cde-8156-2c5845fc3394
077e800b-5f1e-48a8-85e0-aefc51775621;1;f94e36ca-c976-4ba7-bbd3-a3b3ecce815f;Artikel 178;10,00;53,43;63,58;19,00;534,30;635,80;6f0027dd-7429-447f-b2f8-43801f6a766a
8b8ff4d8-17d4-4cea-99a0-0b56a817347e;9;ce580036-4a46-4627-9835-4e1c40a242a9;Artikel 803;5,00;85,61;101,87;19,00;428,05;509,35;02147c50-fdfc-4985-9dcf-e9d2e7bf3fb3
1a9e18f1-2cb1-41ee-8f67-d8cd9d61cbda;18;e87ca86b-2549-4622-bb26-8efc59261373;Artikel 491;3,00;87,13;103,69;19,00;261,39;311,07;16d65fda-ff28-4b7f-8d2c-2359341f4839
2472f661-571e-4055-b2cb-708b6d43dd97;20;b8c3bbcf-c62c-47ab-87f8-8a3938d7af9a;Artikel 320;3,00;104,13;123,91;19,00;312,39;371,73;d1fda975-1498-4886-8b72-2f9bbd0b3e55
eb1e60c4-ad97-48d6-bce2-ba4e9b5cb0f5;2;bdaa7cbd-ee0b-402b-a34a-4e0091cec33d;Artikel 918;3,00;52,73;62,75;19,00;158,19;188,25;7d93ebbf-1f4f-445a-819d-448aed763d5f
f68d7a08-8e6b-4b01-a3b7-234e86641e36;8;8b132cfc-ee2d-4624-b5fc-c5327d3ab57e;Artikel 552;5,00;41,36;49,22;19,00;206,80;246,10;7d340318-521b-4606-bc5b-85d5a4fee390
cedb9486-b62a-416a-93f1-ae3e380cc63c;17;a97f8609-290b-4248-8811-a217a49ddc50;Artikel 851;10,00;28,76;34,23;19,00;287,60;342,30;ae3d5b98-1190-47e3-83e6-933474c462c7
e7d870c7-797b-4d1a-8b9c-52749b864081;1;6eb02e1f-73c0-410e-9885-18136ed365d0;Artikel 259;4,00;67,20;79,97;19,00;268,80;319,88;70283cc6-2b35-4797-ba9c-168e644877a8
f8b8e143-5884-48c0-9e56-41ff5715e102;7;ebdfed0b-0843-40cd-835a-cc2265aaf8d2;Artikel 180;1,00;118,94;141,54;19,00;118,94;141,54;36e6bbc3-99e4-4e38-a54d-f2bb2eb06af9
8b4454bf-6152-48a9-a9c9-be11def09263;8;5aa7bf64-065a-4d74-abf1-b159742434a9;Artikel 989;7,00;87,10;103,65;19,00;609,70;725,55;6aa40a20-6b56-48b7-baed-740d31799c19
8ea61a21-c872-4549-975d-88642836dc54;3;4e963994-6461-47c9-bd5c-d0d138effa3c;Artikel 687;1,00;91,48;108,86;19,00;91,48;108,86;5c6cef81-cbdf-4e50-909e-7317493565fc
cedb9486-b62a-416a-93f1-ae3e380cc63c;15;60cb6f37-8fb9-4b25-9ebe-9049af59ffa4;Artikel 808;8,00;74,14;88,23;19,00;593,12;705,84;94cf9a55-e535-42d5-88d8-2b42358b19e6
e7d870c7-797b-4d1a-8b9c-52749b864081;4;41640213-7f81-4161-8f31-b0a910f5797c;Artikel 141;8,00;15,48;18,42;19,00;123,84;147,36;a2c9f8ad-6773-4df1-97e8-ff4f98f65b4c
008055b2-2675-473a-885b-cab8bbc6a084;14;fb917dd3-ae68-45ae-aaf9-c226b8f07ddf;Artikel 225;7,00;150,25;178,80;19,00;1.051,75;1.251,60;167d0220-e141-418f-8ce5-d83661042c93
93caecb4-561d-4295-beec-26e2527a957c;7;9951fb33-9c4b-4da5-be2b-8496e3af2ff9;Artikel 734;9,00;81,59;97,09;19,00;734,31;873,81;3886da70-cfe8-4d04-879d-0e6670d8b070
e01a2129-15f9-44c5-ac3a-eb153abfa49e;20;b795a764-6804-49d5-a438-b7da60762168;Artikel 254;1,00;103,67;123,37;19,00;103,67;123,37;0a56daf4-451a-43ab-acc8-3c88403c3314
2341867e-c571-4ba5-a1b0-5cf0794c4782;16;b795a764-6804-49d5-a438-b7da60762168;Artikel 971;4,00;108,48;129,09;19,00;433,92;516,36;57985dc4-0ae3-49ee-a9fc-828269853cd9
340e6490-53a5-4864-8e6e-345d41dced4e;12;61904805-eb2c-4aa3-b74e-e7711676a50b;Artikel 282;2,00;63,54;75,61;19,00;127,08;151,22;32a33273-ba3d-4675-9b8e-9e6f634de922
ea29677e-adc6-4bf2-b2b3-70b773caaf6d;15;d03d7698-a32a-4ee2-9a72-7aa87aa88e58;Artikel 145;8,00;162,37;193,22;19,00;1.298,96;1.545,76;6868c011-2c68-4b09-b05b-3675856d037d
6427d10c-91b2-42e8-bb1d-4db709c3771c;7;86592f2e-9470-4932-a6da-8cb365b67897;Artikel 904;1,00;127,40;151,61;19,00;127,40;151,61;38eb2e5c-827c-4108-8671-f425669f336b
2db7131f-02dd-4099-a819-e1dcaf954e66;13;8b132cfc-ee2d-4624-b5fc-c5327d3ab57e;Artikel 291;5,00;102,43;121,89;19,00;512,15;609,45;6b19ec33-8dc5-497c-b9a4-10e9a672536a
4a645c91-ed77-4fd4-91d5-80725e19e90f;2;1b19c8da-9b54-4647-8579-8b606ebf884c;Artikel 978;1,00;154,30;183,62;19,00;154,30;183,62;a99ee9de-830a-4500-9491-4993fa54d884
d5bb7016-408b-4c91-b238-95e3bc1991c6;5;a8e5bbdb-c12c-4299-9a67-2eddb7c653b9;Artikel 176;8,00;79,20;94,25;19,00;633,60;754,00;617bd244-935c-4aa3-82cc-bb46ff21d3a3
