beitrag_uuid;status;geaendert_am;bemerkung;uuid
8df36bec-8630-4707-bb16-b2b37300b38f;kontiert;1739574000;Storniert;ba593522-5418-4d82-9590-7d001e6022b2
10599df4-a35f-4f19-a7c7-6c5bc7cf75c2;storniert;1752098400;Automatisch erstellt;12f4bf9d-1704-4609-a7d9-a47e868fb60a
23cd2861-7e10-49ab-9f81-4d42e04ae10d;offen;1754258400;Mahnung versendet;89c22dd8-2985-4fbb-823b-8c6c4a297707
83e1849a-f632-4239-a9fb-7a71cd1dd254;bezahlt;1742598000;Storniert;1ae07e18-b3d1-4e8c-bb52-124fa0541eb4
a8b95513-4a4f-473e-8a6c-9a31b98cd3a7;storniert;1738191600;Inkasso eingeleitet;c80f0b89-21a0-408b-a331-60d635cb0360
a6bcf450-335e-4ad8-b50f-1b4b776c0d70;offen;1736722800;Beitrag angelegt;7f86c2d4-eaa4-47a6-96c8-6739eaa2a43c
322380b6-4170-4c68-b66c-525688df08fa;bezahlt;1774479600;Zahlung eingegangen;092c3fed-73c7-4e81-b078-7247dd0e69cb
a6bcf450-335e-4ad8-b50f-1b4b776c0d70;offen;1757541600;Inkasso eingeleitet;f8bb2ee7-bc09-4bc9-9af0-692f8cf10c3b
dcbc93f4-bcc0-4ae5-8fa8-6762dd6f0012;inkasso;1795734000;Inkasso eingeleitet;0c3ac890-da60-4f39-af27-dd8c286aab2a
8e7719dd-a8f3-4750-a0fa-005ff3f4123e;storniert;1769295600;Mahnung versendet;23d8d44f-ed90-4c14-97fb-f95de5c963db
2b26e798-2897-4da7-a5aa-3e642a166a94;angemahnt;1751061600;Beitrag angelegt;6d413cd0-77eb-4e0f-b8ad-50f35f28340c
27bfae72-b360-488f-9f30-78b9a3f85e77;offen;1744840800;Beitrag angelegt;f629726b-ae1b-450f-8f4e-f9eafffa5cd6
bd2d4689-6464-4884-b2c2-071a6bfd2fe2;storniert;1745791200;Zahlung eingegangen;e06e4166-f72b-4063-b6e3-6e5cd4dd1870
b4dc3314-84a6-438b-b8fa-381b2d32f839;angemahnt;1747087200;Automatisch erstellt;54e08428-0aac-4f6b-906b-4aad79985c58
10599df4-a35f-4f19-a7c7-6c5bc7cf75c2;storniert;1787004000;Zahlung eingegangen;0724debb-79e3-4890-814d-434a5af639dc
fefc4d8e-75cf-481f-823d-620db50dbc09;storniert;1780524000;Mahnung versendet;967af40f-cee4-4d49-acb0-36d05c0b1ef9
a6bcf450-335e-4ad8-b50f-1b4b776c0d70;kontiert;1761429600;Mahnung versendet;45565e4b-2d75-40c9-8270-c42863564fea
2b26e798-2897-4da7-a5aa-3e642a166a94;inkasso;1786399200;Storniert;a816fa61-b168-418d-bc50-3032545028dc
d349476c-8bed-4fbf-bb12-959b244327e8;inkasso;1760565600;Zahlung eingegangen;1f8df425-5f24-4ecb-a8d9-d9d3727a3c75
af0d2070-8fda-4220-b76e-4dcc8781fb70;storniert;1785103200;Beitrag angelegt;9f429e80-308e-4d8f-a4b3-b95cbc5df153
11651ce0-7747-414d-89d6-56d3e46a35f9;angemahnt;1767654000;Storniert;f4e4669f-3994-47f1-a991-863d5732e8f8
8df36bec-8630-4707-bb16-b2b37300b38f;storniert;1737154800;Storniert;4695c3c9-132d-44ca-8083-968c19b87c3c
c066a3fa-46bb-4403-ba1e-d03061073e64;angemahnt;1766012400;Inkasso eingeleitet;181b85e9-e5fa-45e7-ab41-e4131f4d7d57
bd2d4689-6464-4884-b2c2-071a6bfd2fe2;inkasso;1746136800;Storniert;5c036c0b-3e40-4c7a-a675-8d7e118b9f10
4141b0c3-e430-4ba6-9461-6ac32a69aeaf;inkasso;1784152800;Mahnung versendet;0b3bd729-b177-48b0-bf7b-f77e26f601a8
b77f7ec8-478c-4fed-be58-6a115be478f2;bezahlt;1763074800;Automatisch erstellt;9d73ce73-4215-4ec0-b40c-ee6e189f14fd
c01f39a3-a2d8-4fc0-87b0-d3eab4927c23;inkasso;1753653600;Automatisch erstellt;da1d9617-99ec-4061-836f-34676cfddcb5
8e7719dd-a8f3-4750-a0fa-005ff3f4123e;offen;1762815600;Zahlung eingegangen;3e540fa8-8555-45b7-a5bd-33b1513e3b1a
d513e35f-32c4-4d31-82af-156dca6eec5a;inkasso;1768431600;Storniert;2b0f9270-5b72-4dd4-8390-0c90ff8f1c43
0ffe5f67-4569-4fe0-9585-0824d48ec791;angemahnt;1753567200;Beitrag angelegt;28dee09c-4587-4f92-bf58-dbeb5c3216d8
11dd63fd-bc96-4a0f-b4f0-0ffca956fc96;offen;1757455200;Inkasso eingeleitet;5ffde184-8745-4cde-aba3-2d8f16bf42db
b77f7ec8-478c-4fed-be58-6a115be478f2;bezahlt;1766790000;Automatisch erstellt;d7df8aab-9215-4e83-acba-f2105b6ab2bc
8b2c6401-e6e5-4900-8f47-b3c9988535f7;inkasso;1745272800;Beitrag angelegt;6f42cf8e-650d-47ff-88dd-804d646280bc
af3e44bc-956b-43b2-b447-17a8590c2b45;storniert;1740178800;Zahlung eingegangen;89f35ce6-137d-4cb6-8b11-481810d7a553
515eb2fe-90b4-41d9-bff8-d9c9c4436d11;offen;1753480800;Automatisch erstellt;261f4ed9-bcc2-4dd3-91ac-d687b04683d9
bdc7e90e-81dc-4bf3-bac8-a96329038eba;angemahnt;1739228400;Storniert;516e5d5e-b9db-4796-97ff-500811da2f93
0dd58bac-cbc5-4c00-a8c2-3438c193f29d;kontiert;1751320800;Mahnung versendet;722813cf-3233-482e-8d9f-980f5ae2ad2d
b3f7d656-ab89-4f74-bcb9-01d98e68a798;offen;1790028000;Inkasso eingeleitet;88847778-faa8-4b84-a293-41c371d62a41
4141b0c3-e430-4ba6-9461-6ac32a69aeaf;kontiert;1767913200;Inkasso eingeleitet;90b9fd1e-e6e1-4ae1-b5db-7e76cec910d0
6700a220-9717-4d19-a7cb-85be81bca8eb;storniert;1787349600;Mahnung versendet;e5e958e3-ab60-43b7-aad3-4a665bcf3dbe
c99944ff-8c1c-41bc-a455-74a4d8395266;inkasso;1757282400;Mahnung versendet;795bcfd7-6de7-4a15-97ad-4ab240bf36b4
27bfae72-b360-488f-9f30-78b9a3f85e77;bezahlt;1796770800;Mahnung versendet;4be503c5-a5f4-49d4-9827-b56a0e474602
515eb2fe-90b4-41d9-bff8-d9c9c4436d11;storniert;1780610400;Automatisch erstellt;19fe4587-60b6-4574-b3ef-4937116ffe6e
d4392069-037b-4d19-8eed-1cc4e6a983a1;kontiert;1741734000;Automatisch erstellt;498edf98-64e8-4041-bb68-9860a1ce9065
83e1849a-f632-4239-a9fb-7a71cd1dd254;bezahlt;1771628400;Inkasso eingeleitet;76027809-b64d-42d7-9b1b-7761322d45da
23ed7462-8775-4251-aebf-62dc8cd99f5c;storniert;1798066800;Mahnung versendet;4d3214ad-3dc9-45af-907a-e09fbcc391ac
23cd2861-7e10-49ab-9f81-4d42e04ae10d;angemahnt;1760479200;Zahlung eingegangen;7d608bab-c6b0-49c7-9884-8aaa5f2a610c
dcbc93f4-bcc0-4ae5-8fa8-6762dd6f0012;offen;1792533600;Automatisch erstellt;90c51ad4-4c12-41e5-8048-ea04314a49e3
2b26e798-2897-4da7-a5aa-3e642a166a94;angemahnt;1741647600;Inkasso eingeleitet;d70a3fc8-87f7-4c7f-839d-262804d22ff3
8c46eb02-ee94-4946-b9a5-2e4ae81dd45c;inkasso;1768172400;Inkasso eingeleitet;3e7149fc-ff66-48bb-a7f1-89639387c19c
3dd3a586-d575-4981-a7a1-b97c261b1075;kontiert;1793833200;Automatisch erstellt;ec3bfc86-02f9-4113-979f-0a9a7c2b88a7
809c5209-c66f-43bc-a666-03711c906a62;inkasso;1782252000;Storniert;f07e87ea-6c3a-4140-b22a-379f3992805e
8df36bec-8630-4707-bb16-b2b37300b38f;kontiert;1759269600;Automatisch erstellt;026368a1-3b0c-453f-91b9-d392952b1428
18aea0e9-48ae-4b53-9ed7-ca7489ea206e;angemahnt;1779228000;Storniert;1b83dbc8-e912-44cf-b955-bd2051719d8f
31358bec-e5ed-462c-af7a-d2605f8e509d;inkasso;1758405600;Zahlung eingegangen;0edf5aea-15a8-4f01-b05e-3d801429d180
8b2c6401-e6e5-4900-8f47-b3c9988535f7;offen;1793401200;Zahlung eingegangen;82f604f5-691d-4330-8b66-123cdd17f08d
3d3ddb34-c9c9-4074-885e-fab39412ebab;bezahlt;1773270000;Beitrag angelegt;34148608-b3b0-4e1c-8616-7715045937bd
8e7719dd-a8f3-4750-a0fa-005ff3f4123e;inkasso;1779832800;Automatisch erstellt;b5cae68e-4eee-4536-8655-be0b7c426071
f32b08b2-36e2-47b9-95c6-6fa650e92c79;kontiert;1796684400;Mahnung versendet;8f977d33-197f-4df0-a736-8e74798234d5
