bruttopreis;bemerkung_uuid;uuid
230,00;<NULL>;707f48ac-d4b5-4374-9824-88610b8a4825
39,99;<NULL>;88291502-71c7-42de-9013-b2b63f242e51
19,99;<NULL>;6af38149-ed6b-4a49-a49e-c1812b4a7814
45,01;<NULL>;669f7f9a-21b4-4ace-a67a-8188392d41dd
55,00;<NULL>;8c13ca50-b7c4-4d87-bebd-38db2fb5c510
45,01;<NULL>;854463a5-61c5-462a-9aee-6351106cff98
19,99;<NULL>;24ab12da-7d5d-4d58-8f8d-452506381331
19,99;5d6c20d0-37f3-4686-acdb-424134ef1c8d;3680af84-3860-4476-999d-f9a1e556d69f
19,99;<NULL>;8f3f6cd3-471c-4b31-92b3-ff87ac242c8d
120,00;<NULL>;18ed788d-95ec-4208-9021-0d3e5605452f
199,99;<NULL>;1e48293a-3dc3-43aa-9963-0a97d4969bea
39,99;<NULL>;b8c68cd0-4b49-4a33-9f69-aff6cc389405
60,00;<NULL>;2e875b67-d57b-402e-9e84-c395fae2a8d7
199,99;<NULL>;06fde8c7-205f-4be1-b5f7-f0f389da9b00
230,00;<NULL>;ed54419b-8368-4ce3-900d-535ba61edb1b
99,99;<NULL>;23502629-4ee5-4398-8a32-f0da902fc885
29,99;<NULL>;13198955-f419-4825-b4b1-3a0a180e5e1f
99,99;<NULL>;76a62068-efb9-45ce-a8f0-231196b666cc
29,99;05e7f197-0789-4f3c-90a3-01a9e301b6d4;6b00eca7-fe8f-4158-9d18-85b1bcf1aa40
120,00;<NULL>;9bf1aa28-2660-4fd9-a2a7-c2beda27ff65
120,00;<NULL>;24d83901-3095-480d-83ce-72d934e3b4b2
80,00;<NULL>;b3ca8aad-9ab2-4ac4-b588-ec3a338d7432
