titel;text;datum_erstellt;uuid
Kooperation;Rücksprache erforderlich;1717538400;f8a8e54d-72af-479d-91c0-39461ce23ec3
Sonderaktion;Dokument eingereicht;1614639600;25232cea-6741-4527-8ab5-c807605d2747
Jubiläum;Bitte beachten;1613343600;4aa7add7-f483-4c41-abd9-42554aa1d541
Workshop;;1703113200;24e60528-aeaa-468c-9625-0129ed100760
Weihnachtsfeier;;1773702000;6106761b-fcba-4adb-a83f-e605200e21e5
Wettkampf;Erfolgreich absolviert;1610233200;eabc4d02-270b-4423-83a3-01a8e7f72443
Wettkampf;Teilnahme bestätigt;1772146800;bbfa2e21-3e45-4a28-bf49-53ca82b6566c
Jahreshauptversammlung;Bitte beachten;1629756000;7be6b10a-d27e-4e3c-a6a8-eff248e40b54
Gürtelprüfung;Erinnerung an Zahlung;1609282800;465436bc-308e-492f-836d-565d69388565
Sommerfest;;1668034800;d6d268c5-fce2-4643-ae61-68d8f93f4f06
Jubiläum;Antrag gestellt;1774908000;d309016c-f28f-4bdf-ba87-f369ddc52ce1
Mitgliederversammlung;;1684447200;233ad079-5017-482e-8b1b-7412024e2e90
Prüfung;Antrag gestellt;1699570800;d9e47cb9-fba5-4796-b464-a917ba415a55
Prüfung;;1768690800;ec0d8a26-1708-4d70-8b00-9031ace16f1a
Sommerfest;;1716415200;3c8b70c1-0765-47e0-b8de-7276b3213473
Mitgliedsbeitrag;;1676070000;6bd8917d-eea1-4aa3-b463-6079dc565f98
Training;Wichtige Information;1732057200;4503e16e-176a-4217-938f-b1b525e8f9e8
Kooperation;;1678662000;7024f5e6-4632-4bf5-a735-4486d73e94c6
Gürtelprüfung;Wichtige Information;1760220000;182ccc67-ba75-41ce-9dfb-b6560b0580e5
Training;Antrag gestellt;1700521200;396fcc23-a4ad-47a0-a718-f42abbd86c92
Ferien;Wichtige Information;1610492400;45242495-9aef-4a93-9315-b32515df9d4b
Geburtstag;Erinnerung an Zahlung;1780696800;7c2f0741-31e0-475e-b2db-4fbc6164bcac
Weihnachtsfeier;Wichtige Information;1763074800;02b97218-96ae-4757-a9e0-f772af484686
Jahreshauptversammlung;Wichtige Information;1771628400;31c9293a-af35-485b-a03b-f7e6a96aed0e
Kooperation;Teilnahme bestätigt;1588716000;75fb95c3-9664-4a48-a709-d913c1396e44
Sommerfest;;1731625200;9f256a58-9cbc-4451-b1ee-c314430b1d83
Workshop;Bitte beachten;1716156000;fc1c1da8-52e8-4849-9e08-8942f09a9b9f
Kooperation;;1590012000;1e4b846b-eabb-4115-bad3-798932f30faa
Sponsoring;Antrag gestellt;1645657200;dbdf5073-3f87-4b9a-b5d6-f7f7b1a97cc7
Turnier;Wichtige Information;1706223600;9ea83ea3-1208-444e-8bc0-924d560c31b5
Workshop;;1686348000;8d5fcf9a-ff22-4c97-b8de-c7753fdc29fe
Verletzung;Erinnerung an Zahlung;1664575200;46b2e9fa-cead-41f5-ba0c-758dbcf6b9da
Jubiläum;Erinnerung an Zahlung;1588975200;3701e711-aac0-48c6-96a9-e50384d5a1fa
Wettkampf;Erfolgreich absolviert;1728856800;5caaa351-de6c-498f-993d-c0d9d4b8bd9e
Mitgliedsbeitrag;;1613862000;9cffa427-5110-4813-b202-907b44780803
Training;Antrag gestellt;1624744800;dfc61431-6843-4377-a2a2-848698592052
Lehrgang;Rücksprache erforderlich;1721858400;9749a6d1-97ff-4323-950e-108b902655bd
Verletzung;Rücksprache erforderlich;1598824800;49f0a9d3-6a84-4cd3-a9c0-05299799f8fd
Training;Genehmigt;1663279200;cbec5a33-5235-4fb0-81d0-6f10751a186b
Mitgliederversammlung;;1601330400;ff431c8a-2030-4059-83c9-383693c5742c
Wettkampf;Rücksprache erforderlich;1614207600;9618b89d-8927-48f6-9b51-a6b0fb8c6650
Sonderaktion;Erfolgreich absolviert;1663711200;6258b032-9c52-414c-8a22-37e46c40cfee
Mitgliedsbeitrag;Antrag gestellt;1608937200;0623ad98-9ec5-4158-b1ba-e0ab99be5657
Sonderaktion;Teilnahme bestätigt;1733439600;55828957-6826-4cd8-a80b-64ea83ca8029
Jubiläum;Erfolgreich absolviert;1757196000;c86bc16c-913e-4c61-ac37-e61d9d345787
Weihnachtsfeier;Erfolgreich absolviert;1650405600;246e05c1-1f5f-4361-88f5-dabc40d7ab52
Gürtelprüfung;Teilnahme bestätigt;1649109600;15c868cf-1558-45cc-bb25-5064f3e42845
Training;Antrag gestellt;1727042400;2b98b3ea-3729-4487-938d-75b08359a852
Ferien;;1592604000;a300d0f7-bed5-4751-bb99-5711776a28b4
Sommerfest;Wichtige Information;1728684000;e4d8a5ae-b23e-498a-bff1-3d3bbdad3803
Sonderaktion;Antrag gestellt;1620511200;f7a14eb6-ad64-4c2f-86ce-0bec9a3f9bc6
Gürtelprüfung;Rücksprache erforderlich;1730761200;dc8771ca-fb4e-46be-98d3-09bb781dfa95
Jubiläum;Antrag gestellt;1709247600;24149396-21a4-40d5-bfa9-d4a2cc84f01e
Sponsoring;Wichtige Information;1649887200;c0272123-276c-4b12-a1fe-ef635bc8154d
Training;;1686175200;ba39f795-2d38-42ff-88df-b744d8e871ea
